kTe_keV,theta,tau_T,fixed_xi,eta,p_sc,A_model,effective_albedo_ireflect_xi100,downward_flux_model,last_scatter_order,last_difmax,converged,max_scatter,convergence_tolerance,tbb_keV,disk_temperature_K,hemisphere_mu_order,observer_mu,exact_angles
149.66624649512616,0.2928889363896794,1.851617735699141,100.0,0.5075804982077201,0.9273887424011172,1105.4342348839702,0.15875551519538667,4.45686154365249e-09,25,0.002267541507526951,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,2.2332354715824,100.0,0.5092006562193121,0.9548187469069166,1791.6629824443125,0.15342519993991421,7.2466382160303475e-09,27,0.002021454330350081,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,2.6935044827979704,100.0,0.5118666391928711,0.9741985555351548,2791.4673139914003,0.14748125642269902,1.1349603165329883e-08,28,0.002944869352279592,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,3.2486347683310455,100.0,0.5159988027775763,0.9866925031789872,4195.846763488775,0.14124787900956093,1.7197274260388105e-08,31,0.002203628186249379,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,3.918177202009464,100.0,0.5223085404070188,0.9939206967739203,6086.368745265295,0.13523552910360448,2.525089013897064e-08,33,0.0026529562324844936,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,4.7257120855828685,100.0,0.5315376938076032,0.9975975862271101,8640.442454911094,0.12963475122449067,3.6480548073997224e-08,36,0.0027264954060375597,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,5.699679612338785,100.0,0.544360361563781,0.9992017727453967,12243.76542748918,0.12460134218908772,5.294108027168019e-08,40,0.002699997460457403,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,6.874381488965292,100.0,0.5608485575914801,0.9997844437930467,17854.499555660394,0.12014466219741361,7.953981812677927e-08,45,0.0028510504140782764,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,8.291188991311971,100.0,0.5792025096264799,0.9999545663105661,28175.068657224594,0.11604461447093271,1.296243890415132e-07,53,0.0027765597487948773,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
149.66624649512616,0.2928889363896794,10.0,100.0,0.5940429738334434,0.9999928821608804,52048.57558462379,0.11192445891042765,2.4559414937057907e-07,66,0.002810211753623936,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.03,100.0,0.6106908872991007,0.05634665773646885,0.23417443614869896,0.010469505457138026,1.1359317204122921e-12,9,0.0006020637725766492,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.03618298899161007,100.0,0.6064088369697784,0.06717426909995605,0.2897372067955205,0.011400108516995713,1.395600431209336e-12,9,0.00118482013997674,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.04364028974556586,100.0,0.6014644401210423,0.07992951067945364,0.3606808316015924,0.012705811156807552,1.7231549137851775e-12,9,0.0022514351854062546,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.05263453744848279,100.0,0.595805874474857,0.09490276968327094,0.45244211899252135,0.014542470923751633,2.141209261129089e-12,10,0.0006003494560645088,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.06348249630256467,100.0,0.5894032153212135,0.11241177114187417,0.5729883872212512,0.017119163645698446,2.6825611173088158e-12,10,0.0012368112413298376,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.0765662154958542,100.0,0.5822614237987268,0.13279892038810515,0.7343035245368226,0.020706675861767276,3.3961349192505317e-12,10,0.002434722973279295,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.09234648441385787,100.0,0.5744367280526177,0.15642581210523943,0.954904519123127,0.025635752863471025,4.3570591214901865e-12,11,0.0009081637684944738,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
164.8513760290665,0.32260543254220453,0.11137906096535036,100.0,0.5660588561245027,0.18366316145618522,1.2641015390484853,0.03226430871607705,5.683748518213693e-12,11,0.0018754927119030219,True,2000,0.0032,0.005,58022.590607750404,8,0.5,True
